"DATE TIME (UTC)","MMSI","LATITUDE","LONGITUDE","COURSE","SPEED","HEADING","NAVSTAT","IMO","NAME","CALLSIGN","AISTYPE","A","B","C","D","DRAUGHT","DESTINATION","ETA"
"2023-04-01 00:01:20",352757000,29.89024,122.82909,11.0,0.1,80,1,9703318,"MSC ZOE","3FQA",71,145,251,36,23,11.8,"CNNGB","04-02 20:00"
"2023-04-01 00:02:16",228386800,36.68218,0.46690,260.4,16.1,260,0,9839131,"CC CHAMPS ELYSEES","FLZF",71,114,285,24,37,15.8,"ESALG","04-01 22:00"
"2023-04-01 00:02:42",219018692,36.37162,-8.40840,105.6,6.1,101,0,9619921,"MARY MAERSK","OWJE2",71,146,253,30,30,15.4,"NLROT   >   MAPTM","04-01 16:30"
"2023-04-01 00:02:44",228394600,9.28110,109.52853,38.5,15.9,40,0,9839181,"CMA CGM PALAIS ROYAL","FMMT",71,116,284,35,27,10.8,"MYPKG > KRPUS","04-06 03:00"
"2023-04-01 00:03:55",248758000,51.95347,3.99330,325.7,0.0,34,5,9776420,"CMA CGM JEAN MERMOZ","9HA4798",71,128,271,29,29,14.6,"NLRTM","04-01 10:00"
"2023-04-01 00:04:10",636017577,37.92919,-8.84134,306.8,0.0,127,5,9754965,"MSC REEF","D5LQ2",70,145,253,35,24,15.9,"SINES","03-30 22:00"
"2023-04-01 00:04:37",219019094,35.88398,-5.85113,91.0,11.8,92,0,9619969,"MARIBO MAERSK","OWJJ2",71,146,253,30,30,15.4,"DEWVN > MAPTM","04-01 01:30"
"2023-04-01 00:04:47",636017506,22.63837,113.68386,330.8,0.0,348,0,9762326,"MSC JADE","D5LH6",71,146,253,36,23,12.7,"NANSHA","03-31 02:30"
"2023-04-01 00:04:53",355906000,1.27669,103.75595,31.0,0.2,299,0,9703291,"MSC OSCAR","3FBT7",71,145,251,36,23,13.5,"SINGAPORE","03-31 22:00"
"2023-04-01 00:04:53",374859000,40.65783,27.31942,242.7,5.9,242,0,9708679,"MSC MAYA","3EZI",71,145,251,36,23,13.5,"TRCKZ GELIBOLU P.S.","04-01 04:45"
